measurementDeterminedBy,traitName,traitValue,traitUnit,verbatimTraitName,original_archive
Hamilton,Stem_length,100,cm,Stemhe,CALYPT.csv
Mori,Stem_length,50,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,75,cm,Stemhe,CALYPT.csv
Darwin,Stem_length,160,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,130,cm,Stemhe,CALYPT.csv
Hammel,Stem_length,200,cm,Stemhe,CALYPT.csv
Hamilton,Stem_length,150,cm,Stemhe,CALYPT.csv
Hamilton,Stem_length,100,cm,Stemhe,CALYPT.csv
Churchill,Stem_length,200,cm,Stemhe,CALYPT.csv
Nee,Stem_length,150,cm,Stemhe,CALYPT.csv
Hamilton,Stem_length,100,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,160,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,300,cm,Stemhe,CALYPT.csv
Hammel,Stem_length,200,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,200,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,390,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,150,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,189,cm,Stemhe,CALYPT.csv
Henderson,Stem_length,150,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,120,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,128,cm,Stemhe,CALYPT.csv
Moore,Stem_length,200,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,20,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,10,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,50,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,30,cm,Stemhe,CALYPT.csv
Herrera,Stem_length,10,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,30,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,20,cm,Stemhe,CALYPT.csv
Herrera,Stem_length,35,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,10,cm,Stemhe,CALYPT.csv
Bernal,Stem_length,320,cm,Stemhe,CALYPT.csv
Gentry,Stem_length,150,cm,Stemhe,CALYPT.csv
Garcia,Stem_length,300,cm,Stemhe,CALYPT.csv
Bernal,Stem_length,175,cm,Stemhe,CALYPT.csv
Herrera,Stem_length,100,cm,Stemhe,CALYPT.csv
Standley,Stem_length,45,cm,Stemhe,CALYPT.csv
Standley,Stem_length,45,cm,Stemhe,CALYPT.csv
Standley,Stem_length,60,cm,Stemhe,CALYPT.csv
Knudsen,Stem_length,175,cm,Stemhe,CALYPT.csv
Croat,Stem_length,250,cm,Stemhe,CALYPT.csv
Knudsen,Stem_length,200,cm,Stemhe,CALYPT.csv
Knudsen,Stem_length,200,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,300,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,350,cm,Stemhe,CALYPT.csv
Knudsen,Stem_length,250,cm,Stemhe,CALYPT.csv
Croat,Stem_length,150,cm,Stemhe,CALYPT.csv
Croat,Stem_length,150,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,90,cm,Stemhe,CALYPT.csv
Mori,Stem_length,150,cm,Stemhe,CALYPT.csv
Knudsen,Stem_length,300,cm,Stemhe,CALYPT.csv
Knudsen,Stem_length,400,cm,Stemhe,CALYPT.csv
Folsom,Stem_length,300,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,43,cm,Stemhe,CALYPT.csv
Churchill,Stem_length,300,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,250,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,300,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,305,cm,Stemhe,CALYPT.csv
Sytsma,Stem_length,300,cm,Stemhe,CALYPT.csv
Hamilton,Stem_length,150,cm,Stemhe,CALYPT.csv
Churchill,Stem_length,400,cm,Stemhe,CALYPT.csv
Hammel,Stem_length,350,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,390,cm,Stemhe,CALYPT.csv
Churchill,Stem_length,150,cm,Stemhe,CALYPT.csv
Mori,Stem_length,200,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,200,cm,Stemhe,CALYPT.csv
Croat,Stem_length,120,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,200,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,100,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,543,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,155,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,280,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,190,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,160,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,153,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,46,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,300,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,300,cm,Stemhe,CALYPT.csv
Henderson,Stem_length,210,cm,Stemhe,CALYPT.csv
Henderson,Stem_length,96,cm,Stemhe,CALYPT.csv
Henderson,Stem_length,200,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,152,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,300,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,400,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,214,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,185,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,214,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,340,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,330,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,100,cm,Stemhe,CALYPT.csv
Croat,Stem_length,125,cm,Stemhe,CALYPT.csv
Bernal,Stem_length,300,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,250,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,300,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,300,cm,Stemhe,CALYPT.csv
Sytsma,Stem_length,20,cm,Stemhe,CALYPT.csv
Hammel,Stem_length,150,cm,Stemhe,CALYPT.csv
Hammel,Stem_length,150,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,100,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,20,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,50,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,20,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,50,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,20,cm,Stemhe,CALYPT.csv
Churchill,Stem_length,100,cm,Stemhe,CALYPT.csv
Folsom,Stem_length,50,cm,Stemhe,CALYPT.csv
Davidse,Stem_length,50,cm,Stemhe,CALYPT.csv
Wilbur,Stem_length,70,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,5,cm,Stemhe,CALYPT.csv
Grayum,Stem_length,25,cm,Stemhe,CALYPT.csv
Barringer,Stem_length,50,cm,Stemhe,CALYPT.csv
Cowan,Stem_length,50,cm,Stemhe,CALYPT.csv
Neil,Stem_length,50,cm,Stemhe,CALYPT.csv
Stevens,Stem_length,100,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,10,cm,Stemhe,CALYPT.csv
Holm,Stem_length,15,cm,Stemhe,CALYPT.csv
Stevens,Stem_length,100,cm,Stemhe,CALYPT.csv
Gomez,Stem_length,25,cm,Stemhe,CALYPT.csv
Burger,Stem_length,30,cm,Stemhe,CALYPT.csv
Bangham,Stem_length,12,cm,Stemhe,CALYPT.csv
Gentle,Stem_length,12,cm,Stemhe,CALYPT.csv
Steyermark,Stem_length,10,cm,Stemhe,CALYPT.csv
Steyermark,Stem_length,50,cm,Stemhe,CALYPT.csv
Stevens,Stem_length,10,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,175,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,150,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,100,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,75,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,46,cm,Stemhe,CALYPT.csv
Kress,Stem_length,50,cm,Stemhe,CALYPT.csv
Grayum,Stem_length,50,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,35,cm,Stemhe,CALYPT.csv
Croat,Stem_length,30,cm,Stemhe,CALYPT.csv
Churchill,Stem_length,100,cm,Stemhe,CALYPT.csv
Knudsen,Stem_length,20,cm,Stemhe,CALYPT.csv
Knudsen,Stem_length,20,cm,Stemhe,CALYPT.csv
Stevens,Stem_length,50,cm,Stemhe,CALYPT.csv
Croat,Stem_length,60,cm,Stemhe,CALYPT.csv
McPherson,Stem_length,40,cm,Stemhe,CALYPT.csv
McPherson,Stem_length,30,cm,Stemhe,CALYPT.csv
Churchill,Stem_length,30,cm,Stemhe,CALYPT.csv
Churchill,Stem_length,50,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,20,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,100,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,35,cm,Stemhe,CALYPT.csv
Dwyer,Stem_length,30,cm,Stemhe,CALYPT.csv
Henderson,Stem_length,50,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,80,cm,Stemhe,CALYPT.csv
Sytsma,Stem_length,40,cm,Stemhe,CALYPT.csv
McPherson,Stem_length,10,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,40,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,150,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,20,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,25,cm,Stemhe,CALYPT.csv
Herrera,Stem_length,20,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,40,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,170,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,20,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,100,cm,Stemhe,CALYPT.csv
Holm,Stem_length,30,cm,Stemhe,CALYPT.csv
Liesner,Stem_length,100,cm,Stemhe,CALYPT.csv
Barringer,Stem_length,50,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,10,cm,Stemhe,CALYPT.csv
Gomez,Stem_length,50,cm,Stemhe,CALYPT.csv
de Nevers,Stem_length,70,cm,Stemhe,CALYPT.csv
Mori,Stem_length,10,cm,Stemhe,CALYPT.csv
